binomen,subsp,variety,habit,height_min_mm,leaf_width_min_mm,leaf_length_min_mm,fruit_width_min_mm,fruit_length_min_mm,height_max_mm,leaf_width_max_mm,leaf_length_max_mm,fruit_width_max_mm,fruit_length_max_mm,mid_mm_height,mid_mm_leaf_width,mid_mm_leaf_length,mid_mm_fruit_width,mid_mm_fruit_length,desc,source
Eucalyptus eremophila,NA,NA,shrub,NA,10,60,7,8,4500,17,80,9,10,4500,13.5,70,8,9,"Shrub to 4.5 m. Bark light brown or yellow-brown to grey-white. Juvenile leaves narrowly lanceolate. Adult leaves narrowly lanceolate to elliptic-lanceolate, acuminate or uncinate; lamina 6-8 cm long, 1-1.7 cm wide, green, glandular; lateral veins obscure, at 20°–30°; intramarginal vein faint, up to 2 mm from margin; petiole slightly flattened, 5-10 mm long. Umbels 7-flowered; peduncle slightly flattened, 15-25 mm long; pedicels 4-10 mm long. Buds horn-shaped; operculum horn-shaped, 10-25 mm long, 3-5 mm wide; hypanthium hemispherical, 5-8 mm long, 4-6 mm wide. Fruits subpyriform or cylindrical, 8-10 mm long, 7-9 mm wide; disc obscure; valves 3 or 4, fragile, exserted. Fig. 71G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus cylindriflora,NA,NA,mallee,NA,5,50,6,6,4500,9,70,8,10,4500,7,60,7,8,"Mallee to 4.5 m. Bark light brown to white or grey. Juvenile leaves not seen. Adult leaves linear-lanceolate to narrowly lanceolate, sometimes falcate, uncinate; lamina 5-7 cm long, 0.5-0.9 cm wide, shining, green; lateral veins faint, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole slightly flattened, 5-8 mm long. Umbels 7-flowered; peduncle terete or slightly flattened, 10-15 mm long; pedicels quadrangular, 4-9 mm long. Buds ±fusiform; operculum conical, obtuse, 5-6 mm long, 4-6 mm wide; hypanthium hemispherical or obconical, 4-5 mm long, 4-6 mm wide. Fruits cylindrical or hemispherical, 6-10 mm long, 6-8 mm wide; disc prominent, grey, obliquely descending; valves 3 or 4, fragile, exserted or included. White. Mallee. Fig. 71 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus erythronema,NA,NA,mallee,NA,8,60,10,7,6000,15,80,15,12,6000,11.5,70,12.5,9.5,"Mallee or small tree to 6 m. Bark white, grey, red or pink-brown, usually powdered. Juvenile leaves lanceolate. Adult leaves narrowly lanceolate, uncinate; lamina 6-8 cm long, 0.8-1.5 cm wide, shining, green, glandular; lateral veins faint, at 20°–35°; intramarginal vein up to 1 mm from margin; petiole slightly flattened, 6-9 mm long. Peduncle terete or angular, usually recurved, 15-20 mm long; pedicels often quadrangular, 10-18 mm long. Buds conical or ±fusiform; operculum conical, 10-15 mm long, 7-10 mm wide; hypanthium obconical, 6-7 mm long, 8-9 mm wide. Fruits obconical or turbinate, striate, 7-12 mm long, 10-15 mm wide; disc broad, level or obliquely descending; valves 4 or 5, just exserted","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus erythronema,NA,erythronema,mallee,NA,8,60,10,7,6000,15,80,15,12,6000,11.5,70,12.5,9.5,"Umbels 7-flowered. Buds smooth; basal rim of operculum not expanded. Red-flowered. Mallee. Figs 11, 71K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus erythronema,NA,marginata,mallee,NA,8,60,10,7,6000,15,80,15,12,6000,11.5,70,12.5,9.5,Umbels 3-flowered. Buds with expanded basal rim of operculum. Fruits winged by expanded horizontal rim. Fig. 71M–N,"Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus dielsii,NA,NA,mallee,NA,10,60,9,7,4500,15,90,11,11,4500,12.5,75,10,9,"Mallee or small tree to 4.5 m. Bark brown-grey or brown-green. Juvenile leaves not seen. Adult leaves narrowly lanceolate, uncinate; lamina 6-9 cm long, 1-1.5 cm wide, bright green, glandular; lateral veins faint, at 20°–30°; intramarginal vein up to 1 mm from margin; petiole angular, 12-20 mm long. Umbels 7-flowered; peduncle angular, recurved, 13-25 mm long; pedicels quadrangular, 5-12 mm long. Buds ovoid to cylindrical-conical; operculum conical, obtuse, 7-10 mm long, 5-8 mm wide; hypanthium hemispherical, 5-6 mm long, 5-8 mm wide. Fruits hemispherical, 7-11 mm long, 9-11 mm wide; rim broad, vertical at first, becoming expanded horizontally; disc broad, level or ascending; valves 4 or 5, just exserted. Cap-fruited. Mallee. Fig. 72A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus cerasiformis,NA,NA,mallee,NA,5,60,7,12,3000,12,80,10,15,3000,8.5,70,8.5,13.5,"Mallee to 3 m. Bark grey to brown. Juvenile leaves lanceolate. Adult leaves narrowly lanceolate, uncinate; lamina 6-8 cm long, 0.5-1.2 cm wide, yellow-green, glandular; lateral veins faint, at 25°–30°; intramarginal vein up to 1 mm from margin; petiole terete, 10-12 mm long. Umbels 7-flowered; peduncle terete, recurved, 20-30 mm long; pedicels 10-12 mm long. Buds constricted in middle; operculum conical, 3-5 mm long, 4-5 mm wide; hypanthium urceolate, 6-7 mm long, 4-5 mm wide. Fruits from slightly urceolate to cylindrical or hemispherical, 12-15 mm long, 7-10 mm wide; disc obliquely descending; valves 4, included. Fig. 72C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus wandoo,NA,NA,tree,NA,10,80,3,6,25000,20,120,8,10,25000,15,100,5.5,8,"Tree to 25 m. Bark white or cream, often with yellow-brown flakes. Juvenile leaves ovate to broadly lanceolate, concolorous, hairy in inland occurrences. Adult leaves lanceolate to narrowly lanceolate, acuminate; lamina 8-12 cm long, 1-2 cm wide, dull, green to grey-green; lateral veins faint, at 35°–50°; intramarginal vein up to 3 mm from margin; petiole terete or angular, 12-16 mm long. Umbels 11-15-flowered; peduncle flattened, 10-20 mm long; pedicels 1-5 mm long. Buds horn-shaped; operculum 6-10 mm long, 3-5 mm wide; hypanthium cylindrical to campanulate, 4-5 mm long, 3-5 mm wide. Fruits cylindrical to pyriform, 6-10 mm long, 3-8 mm wide; disc descending vertically; valves level or slightly exserted. Wandoo. Fig. 72E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus redunca,NA,NA,mallee,NA,6,55,5,6,4500,25,80,6,10,4500,15.5,67.5,5.5,8,"Mallee to 4.5 m. Bark light brown to grey or grey-brown. Juvenile leaves lanceolate, concolorous. Adult leaves narrowly lanceolate to lanceolate, sometimes falcate, apiculate; lamina 5.5-8 cm long, 0.6-2.5 cm wide, dull, green; lateral veins faint, at 40°–50°; intramarginal vein faint, up to 3 mm from margin; petiole terete, 6-15 mm long. Umbels 11-15-flowered; peduncle 10-15 mm long; pedicels 2-3 mm long. Buds cylindrical or horn-shaped; operculum 10-15 mm long, 3-4 mm wide; hypanthium cylindrical or obconical, 3-5 mm long, 3-4 mm wide. Fruits subpyriform or cylindrical, 6-10 mm long, 5-6 mm wide; disc obliquely descending; valves exserted. Black. Marlock. Fig. 72G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus xanthonema,NA,NA,mallee,NA,5,40,NA,4,3500,7,60,NA,5,3500,6,50,NA,4.5,"Mallee or small tree to 3.5 m. Bark grey. Juvenile leaves not seen. Adult leaves linear-lanceolate, sometimes more or less falcate, acuminate to uncinate; lamina 4-6 cm long, 0.5-0.7 cm wide, green; lateral veins faint, at 35°–45°; intramarginal vein almost confluent with or up to 1 mm from margin; petiole terete, 4-10 mm long. Umbels 7-flowered; peduncle 5-10 mm long; pedicels absent or to 1 mm long. Buds horn-shaped; operculum 4-6 mm long, 3-4 mm wide; hypanthium obconical, 4-5 mm long, 3-4 mm wide. Fruits hemispherical, 4-5 mm long and wide; disc narrow, descending; valves 3, exserted, fragile. Fig. 72 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus gardneri,NA,NA,tree,NA,8,70,5,7,9000,20,90,6,8,9000,14,80,5.5,7.5,"Tree to 9 m. Bark light brown to grey. Juvenile leaves not seen. Adult leaves lanceolate, uncinate; lamina 7-9 cm long, 0.8-2 cm wide, blue-green; lateral veins faint, at 40°–50°; intramarginal vein faint, up to 2 mm from margin; petiole terete, 10-15 mm long. Umbels 7-11-flowered; peduncle 10-15 mm long; pedicels 2-3 mm long. Buds narrowly horn-shaped; operculum 10-15 mm long, 3-4 mm wide, uncinate; hypanthium obconical, 4-5 mm long, 3-4 mm wide. Fruits pyriform or cylindrical, 7-8 mm long, 5-6 mm wide; disc descending; valves ±level. Blue. Mallet. Fig. 72K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus desmondensis,NA,NA,mallee,NA,15,75,7,7,4500,25,100,8,10,4500,20,87.5,7.5,8.5,"Mallee, slender, willowy, to 4.5 m. Bark powdery white. Juvenile leaves not seen. Adult leaves lanceolate to elliptic, acuminate; lamina 7.5-10 cm long, 1.5-2.5 cm wide, grey-green; lateral veins faint to just visible, at 40°–45°; intramarginal vein up to 3 mm from margin; petiole slightly flattened, 10-20 mm long. Umbels 11-15-flowered; peduncle flattened, pruinose, 9-15 mm long; pedicels absent or to 1 mm long. Buds ±fusiform; operculum conical, 5-8 mm long, 5-6 mm wide; hypanthium hemispherical or campanulate, 4-6 mm long, 5-6 mm wide. Fruits hemispherical or campanulate, 7-10 mm long, 7-8 mm wide; disc descending; valves 3 or 4, usually included, sometimes level or just exserted. Desmond. Mallee. Fig. 72M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus laeliae,NA,NA,tree,NA,10,100,4,5,20000,20,160,6,7,20000,15,130,5,6,"Tree to 20 m. Bark white, powdery, or pale yellow when fresh. Juvenile leaves broadly lanceolate, green to grey-green, slightly discolorous. Adult leaves lanceolate, falcate, acuminate, thick; lamina 10-16 cm long, 1-2 cm wide, green to grey-green; lateral veins faint, at 40°–55°; intramarginal vein confluent with or less than 1 mm from margin; petiole terete, 10-16 mm long. Peduncle dilated, 10-15 mm long; pedicels 1-3 mm long. Buds ovoid to clavate; operculum hemispherical to conical, 2-3 mm long, 3-5 mm wide; hypanthium hemispherical or obconical, 4-5 mm long, 3-5 mm wide. Fruits hemispherical to cylindrical, 5-7 mm long, 4-6 mm wide; disc narrow, descending; valves 3, rarely 4, exserted. Darling. Range. Ghost. Gum. Fig. 73A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus accedens,NA,NA,tree,NA,14,80,6,9,25000,20,125,9,10,25000,17,102.5,7.5,9.5,"Tree to 25 m. Bark white or pale pink, covered with a talc-like powder, the older bark shedding in small, brown flakes. Juvenile leaves ovate to orbicular, cordate, grey-blue or glaucous, concolorous. Adult leaves broadly lanceolate to lanceolate, acuminate, thick; lamina 8-12.5 cm long, 1.4-2 cm wide, dull, blue-green or grey-green; lateral veins faint, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole terete, 15-22 mm long. Peduncle 7-14 mm long; pedicels 2-6 mm long. Buds ovoid to clavate; operculum hemispherical or conical, 4-5 mm long, 4-6 mm wide; hypanthium hemispherical or cylindrical, 4-6 mm long and wide. Fruits cylindrical or subpyriform, 9-10 mm long, 6-9 mm wide; disc broad, descending; valves 3 or 4, just exserted to just included. Powderbark. Figs 6, 73C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus trivalvis,NA,NA,mallee,NA,15,60,4,6,6000,30,110,6,10,6000,22.5,85,5,8,"Mallee to 6 m. Bark grey or pink-grey. Juvenile leaves broadly lanceolate to lanceolate, green, concolorous. Adult leaves lanceolate, broadly lanceolate or ovate, acuminate, thick; lamina 6-11 cm long, 1.5-3 cm wide, grey to glaucous or sometimes green; lateral veins faint, at 40°–50°; intramarginal vein up to 1 mm from margin; petiole terete, 10-20 mm long. Peduncle 5-15 mm long; pedicels absent or to 3 mm long. Buds ovoid to cylindrical; operculum conical, 3-4 mm long, 4-5 mm wide; hypanthium cylindrical, 4-5 mm long and wide. Fruits cylindrical, 6-10 mm long, 4-6 mm wide; disc broad, level to descending vertically; valves 3, level or exserted. Fig. 73E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus pilbarensis,NA,NA,mallee,NA,10,60,7,8,4000,20,120,9,15,4000,15,90,8,11.5,"Mallee to 4 m. Bark pink-grey, white-grey or grey. Juvenile leaves ovate, dull, green, concolorous or slightly discolorous. Adult leaves narrowly lanceolate to lanceolate, sometimes falcate, uncinate; lamina 6-12 cm long, 1-2 cm wide, shining, green; lateral veins clearly visible, at 35°–45°; intramarginal vein up to 1.5 mm from margin; petiole terete, 10-20 mm long. Peduncle 5-12 mm long; pedicels absent or to 3 mm long. Buds obovoid to clavate; operculum hemispherical to conical, 3-5 mm long, 4-6 mm wide; hypanthium obconical to subcylindrical, 6-10 mm long, 4-5 mm wide. Fruits cylindrical to obconical, 8-15 mm long, 7-9 mm wide; disc broad, steeply descending; valves 3-5, included. Fig. 73G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus prominens,NA,NA,mallee,NA,7,60,8,6,3000,20,130,13,12,3000,13.5,95,10.5,9,"Mallee or small tree to 3 m. Bark grey or grey-brown, sometimes with 0.5 m of fibrous grey bark at base. Juvenile leaves lanceolate, green, concolorous. Adult leaves narrowly lanceolate to lanceolate, coriaceous; lamina 6-13 cm long, 0.7-2 cm wide, light green to grey-green; lateral veins faint, at 30°–40°; intramarginal vein almost confluent with or up to 1 mm from margin; petiole terete or flattened, 5-8 mm long. Peduncle 4-15 mm long; pedicels absent or to 4 mm long. Buds clavate; operculum hemispherical, 3-4 mm long, 5-6 mm wide; hypanthium obconical, 4-5 mm long, 5-6 mm wide. Fruits obconical, 6-12 mm long, 8-13 mm wide; disc narrow, obliquely descending; valves 4 or 5, exserted. Fig. 73 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus grossa,NA,NA,mallee,NA,25,90,10,15,3000,50,130,14,18,3000,37.5,110,12,16.5,"Mallee to 3 m, rarely a straggly tree to 6 m. Bark rough, grey, longitudinally fissured on all but the young branchlets. Juvenile leaves opposite, elliptiapprox. Adult leaves opposite, subopposite or sometimes alternate, broadly lanceolate to ovate; lamina 9-13 cm long, 2.5-5 cm wide, shining, green; lateral veins conspicuous, at 35°–40°; intramarginal vein up to 5 mm from margin; petiole 17-25 mm long. Peduncle 15-25 mm long, often recurved. Operculum 10-15 mm long, 8-13 mm wide; hypanthium cylindrical, sometimes angular when crowded, 13-20 mm long, 8-13 mm wide. Fruits cylindrical, 15-18 mm long, 10-14 mm wide; valves included. Coarse-leaved. Mallee. Fig. 73K–L. Figure 73. Eucalyptus buds and fruits, all ×1. A–B, E. laeliae (2.9 km SE of. North. Dandalup, W.A., L.McGann, FRI). C–D, E. accedens (C, I.Brooker 2360, FRI; D, M.Crisp 6665, FRI). E–F, E. trivalvis (E, I.Brooker 2406, FRI; F, P.Latz 2331, FRI). G–H, E. pilbarensis (I.Brooker 8236, FRI). I–J, E. prominens (A.George 10352, FRI). K–L, E. grossa (K, near. Red Lake, W.A., C.Davies, FRI; L, cult., Narrandera, N.S.W., E.Johnston, NSW 58882, NSW). M–N, E. stricklandii (M, Higginsville, W.A., J.Ives, FRI; N, J.Baker 83, FRI).E, F drawn by M.Risby. K, L drawn by C.Stahl. Others drawn by M.May","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus stricklandii,NA,NA,tree,NA,20,100,10,13,11000,30,130,13,15,11000,25,115,11.5,14,"Tree to 11 m. Bark smooth, red-brown to grey, with flaky grey-black rough bark at base. Juvenile leaves alternate, elliptic to ovate. Adult leaves alternate, lanceolate; lamina 10-13 cm long, 2-3 cm wide, shining, green; lateral veins distinct, at 30°–40°; intramarginal vein up to 2 mm from margin; petiole 20-35 mm long. Peduncle glaucous, 10-20 mm long. Operculum glaucous, 10-15 mm long, 7-10 mm wide; hypanthium glaucous, campanulate, 8-10 mm long, 7-10 mm wide. Fruits campanulate, faintly several-ribbed, 13-15 mm long, 10-13 mm wide; valves exserted. Strickland’s Gum. Fig. 73M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus carnei,NA,NA,tree,NA,16,85,6,6,6000,25,120,9,10,6000,20.5,102.5,7.5,8,"Tree to 6 m. usually stunted. Bark smooth brown to grey, with rough dark bark at base only. Juvenile leaves alternate, elliptic to lanceolate. Adult leaves alternate, lanceolate, sometimes falcate; lamina 8.5-12 cm long, 1.6-2.5 cm wide, grey-green or yellow-green; lateral veins faint, at 35°–45°; intramarginal vein up to 1 mm from margin; petiole 20-25 mm long. Peduncles glaucous, dilated, 8-12 mm long. Operculum 4-5 mm long, 5-7 mm wide; hypanthium cylindrical, faintly 2-ribbed, 5-7 mm long and wide. Fruits cylindrical, faintly 2-ribbed, 6-10 mm long, 6-9 mm wide; valves exserted. Carne’s Blackbutt. Fig. 74A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus salubris,NA,NA,tree,NA,5,45,5,3,15000,13,105,8,6,15000,9,75,6.5,4.5,"Tree to 15 m, occasionally to 24 m; trunk strongly spirally fluted. Bark smooth, shining, red-brown or copper-coloured. Juvenile leaves lanceolate, green. Adult leaves narrowly lanceolate, acute to acuminate; lamina 4.5-10.5 cm long, 0.5-1.3 cm wide; lateral veins faint, at 25°–35°; intramarginal vein up to 1 mm from margin; petiole 8-15 mm long. Peduncle 4-13 mm long; pedicels absent or up to 5 mm long. Buds ovoid; operculum conical, rounded at apex, 4-6 mm long, 4-5 mm wide; hypanthium hemispherical, 6-8 mm long, 4-5 mm wide. Fruits hemispherical 3-6 mm long, 5-8 mm wide; disc usually convex, narrow, descending","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus salubris,NA,salubris,tree,NA,5,45,5,3,15000,13,105,8,6,15000,9,75,6.5,4.5,"Adult leaves shining, green, glandular. Peduncle green; pedicels 1-5 mm long. Buds shining. Fruits shortly pedicellate. Gimlet. Figs 17, 74C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus salubris,NA,glauca,tree,NA,5,45,5,3,15000,13,105,8,6,15000,9,75,6.5,4.5,Adult leaves glaucous. Peduncle glaucous; pedicels absent. Buds glaucous. Fruits sessile. Fig. 74E–F,"Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus campaspe,NA,NA,tree,NA,10,80,8,6,11000,20,115,10,9,11000,15,97.5,9,7.5,"Tree to 11 m; trunk slightly spirally fluted. Bark smooth, light copper-brown to dark red-brown. Juvenile leaves broadly lanceolate, grey-green. Adult leaves lanceolate, acute or acuminate; lamina 8-11.5 cm long, 1-2 cm wide, glaucous, grey to grey-green; lateral veins faint, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole 10-15 mm long. Peduncle 5-10 mm long; pedicels 2-4 mm long. Buds ovoid to conical, glaucous; operculum hemispherical to conical, 5-8 mm long and wide; hypanthium hemispherical, 6-8 mm long, 5-8 mm wide. Fruits hemispherical, glaucous, 6-9 mm long, 8-10 mm wide; disc moderately broad, level or convex. Silver-topped. Gimlet. Fig. 74G–H","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus diptera,NA,NA,tree,NA,8,60,10,7,8000,15,90,15,10,8000,11.5,75,12.5,8.5,"Tree or mallee to 8 m; trunk spirally fluted. Bark copper-brown or red-brown, shining. Juvenile leaves lanceolate, green. Adult leaves narrowly lanceolate, uncinate; lamina 6-9 cm long, 0.8-1.5 cm wide, shining, green; lateral veins faint, at 30°–45°; intramarginal vein less than 1 mm from margin; petiole 6-12 mm long. Peduncle absent; pedicels absent. Buds conical; operculum conical, slightly laterally compressed, 6-7 mm long, 6-9 mm wide; hypanthium hemispherical, 2-winged, 4-8 mm long, 8-10 mm wide. Fruits hemispherical, 2-winged, 7-10 mm long, 10-15 mm wide; disc narrow, obliquely descending. Two-winged. Gimlet. Fig. 74 I–J","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus effusa,NA,NA,mallee,NA,6,50,5,5,4000,15,100,6,7,4000,10.5,75,5.5,6,"Mallee to 4 m; trunk not fluted. Bark fibrous, grey on stems, smooth, grey or pink-grey on smaller branches. Juvenile leaves ovate-lanceolate, green. Adult leaves narrowly lanceolate, uncinate, thick; lamina 5-10 cm long, 0.6-1.5 cm wide, green; lateral veins faint, at 25°–35°; intramarginal vein confluent or almost so with margin; petiole 7-10 mm long. Peduncle 3-10 mm long; pedicels 1-3 mm long. Buds ovoid; operculum conical, 3-5 mm long, 3-4 mm wide; hypanthium hemispherical or obconical, 3 mm long, 3-4 mm wide. Fruits hemispherical or obconical, 5-7 mm long, 5-6 mm wide; disc narrow, descending. Fig. 74K–L","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus kruseana,NA,NA,mallee,NA,NA,15,NA,6,2500,NA,20,NA,7,2500,NA,17.5,NA,6.5,"Mallee to 2.5 m. Juvenile leaves opposite, orbicular, often persistent on mature plant. Adult leaves opposite, sessile, orbicular, cordate; lamina 1.5-2 cm long and wide; lateral veins faint, at 60°–70°; intramarginal vein up to 1 mm from margin. Peduncle terete or flattened, 3-10 mm long; pedicels 3-6 mm long. Operculum 4-6 mm long, 4-5 mm wide; hypanthium 3-4 mm long, 4-5 mm wide. Fruits 6-7 mm long and wide; valves included or exserted. Bookleaf. Mallee. Figs 28, 74M–N","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus brachyphylla,NA,NA,mallee,NA,20,30,NA,4,3500,30,40,NA,6,3500,25,35,NA,5,"Mallee to 3.5 m. Juvenile leaves subopposite or alternate, broadly ovate. Adult leaves alternate, subopposite or opposite, petiolate, broadly ovate or suborbicular, apiculate; lamina 3-4 cm long, 2-3 cm wide; lateral veins at 35°–55°; intramarginal vein up to 2 mm from margin; petiole terete, 1-4 mm long. Peduncle slightly flattened, glaucous, 6-10 mm long; pedicels glaucous, 3-4 mm long. Operculum 3-4 mm long and wide; hypanthium 4-5 mm long, 3-4 mm wide. Fruits 4-6 mm long and wide, often glaucous; valves usually included. Fig. 74 O–P","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus loxophleba,NA,NA,tree,NA,10,75,4,5,15000,25,150,9,10,15000,17.5,112.5,6.5,7.5,"Tree or mallee to 15 m. Adult leaves narrowly lanceolate to lanceolate; lamina 7.5-15 cm long, 1-2.5 cm wide; lateral veins prominent, at 15°–20°; intramarginal vein up to 3 mm from margin; petiole terete or angular, 8-15 mm long. Peduncle flattened, angular or terete. Operculum 2-3 mm long, 3-5 mm wide; hypanthium obconical, 3-10 mm long, 3-6 mm wide. Fruits 5-10 mm long, 4-9 mm wide","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus doratoxylon,NA,NA,mallee,NA,8,60,NA,6,NA,10,75,NA,8,NA,9,67.5,NA,7,"Juvenile leaves narrowly lanceolate, green. Adult leaves opposite, narrowly lanceolate, uncinate; lamina 6-7.5 cm long, 0.8-1 cm wide, green; lateral veins at 35°–40°; petiole 5-8 mm long. Peduncle 8-10 mm long; pedicels slender, terete, 3-5 mm long. Buds cylindrical-rostrate; operculum conical, rostrate, 4-5 mm long, approx 3 mm wide; hypanthium cylindrical, 3-4 mm long, approx 3 mm wide. Fruits 6-8 mm long and wide. Spearwood. Mallee. Fig. 75A–B","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus decurva,NA,NA,mallee,NA,15,65,NA,8,NA,25,80,NA,10,NA,20,72.5,NA,9,"Juvenile leaves ovate, ±cordate, glaucous. Adult leaves alternate, lanceolate, sometimes falcate, uncinate or acuminate; lamina 6.5-8 cm long, 1.5-2.5 cm wide, grey-green; lateral veins faint, at 45°–60°; petiole 10-18 mm long. Peduncle 15-20 mm long; pedicels quadrangular, 4-8 mm long. Buds clavate; operculum hemispherical-conical, 2-3 mm long, 4-5 mm wide; hypanthium cylindrical, 4-5 mm long and wide. Fruits 8-10 mm long and wide. Slender. Mallee. Fig. 75C–D","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus balladoniensis,NA,NA,mallee,NA,10,70,9,10,4000,25,130,12,12,4000,17.5,100,10.5,11,"Mallee to 4 m. Bark fibrous, grey to dark grey on lower stems, smooth and grey-brown or pink-grey above. Juvenile leaves narrowly lanceolate, green. Adult leaves lanceolate, acuminate; lamina 7-13 cm long, 1-2.5 cm wide, grey-green; lateral veins just visible, at 30°–40°; intramarginal vein up to 1 mm from margin; petiole flattened or quadrangular, 10-22 mm long. Umbels 7-flowered; peduncle flattened or terete, 10-20 mm long; pedicels angular, 4-8 mm long. Buds globular; operculum rostrate, 13-15 mm long, 9-12 mm wide; hypanthium hemispherical, 7-8 mm long, 9-12 mm wide. Fruits hemispherical, 10-12 mm long, 9-12 mm wide; disc broad, descending; valves 4. Fig. 75E–F","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
Eucalyptus goniantha,NA,NA,mallee,NA,NA,NA,NA,NA,3500,NA,NA,NA,NA,3500,NA,NA,NA,NA,"Mallee or tree to 3.5 m. Bark smooth throughout, grey to pale brown. Juvenile leaves ovate, green. Adult leaves lanceolate to broadly lanceolate; lateral veins clearly visible, at 35°–40°; intramarginal vein up to 3 mm from margin; petiole angular or slightly flattened, 15-25 mm long. Umbels 7-flowered; peduncle flattened, recurved. Buds conical or ovoid; operculum narrower than hypanthium; hypanthium obconical or hemispherical. Fruits ribbed; disc broad; valves 4 or 5","Flora of Australia Volume 19, Myrtaceae, Eucalyptus, Angophora, Australian Government Publishing Service, Canberra (1988)"
